127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/web2py.js, HTTP/1.1, 200, 0.002366
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/jquery.js, HTTP/1.1, 200, 0.004762
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/calendar.js, HTTP/1.1, 200, 0.003099
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003402
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002144
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000887
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001464
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002205
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001104
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/js/share.js, HTTP/1.1, 200, 0.000521
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/images/twitter.png, HTTP/1.1, 200, 0.000605
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/images/gplus-32.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/images/facebook.png, HTTP/1.1, 200, 0.002785
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/images/favicon.ico, HTTP/1.1, 200, 0.000704
127.0.0.1, 2014-06-30 23:11:11, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.151312
127.0.0.1, 2014-06-30 23:11:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2014-06-30 23:11:16, GET, /admin/default/peek/basic_rest/models/dby.py, HTTP/1.1, 200, 0.068281
127.0.0.1, 2014-06-30 23:11:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2014-06-30 23:11:19, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.168941
127.0.0.1, 2014-06-30 23:11:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2014-06-30 23:11:25, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 0.814862
127.0.0.1, 2014-06-30 23:11:33, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.185297
127.0.0.1, 2014-06-30 23:11:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2014-06-30 23:11:46, GET, /admin/default/edit/basic_rest/models/dby.py, HTTP/1.1, 200, 0.069788
127.0.0.1, 2014-06-30 23:11:46, GET, /admin/default/edit/basic_rest/models/dby.py, HTTP/1.1, 200, 0.053228
127.0.0.1, 2014-06-30 23:11:46, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.064095
127.0.0.1, 2014-06-30 23:11:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065086
127.0.0.1, 2014-06-30 23:11:46, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.141948
127.0.0.1, 2014-06-30 23:11:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015570
127.0.0.1, 2014-06-30 23:11:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
127.0.0.1, 2014-06-30 23:12:09, POST, /admin/default/edit/basic_rest/models/dby.py, HTTP/1.1, 200, 0.061772
127.0.0.1, 2014-06-30 23:12:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047444
127.0.0.1, 2014-06-30 23:13:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046566
127.0.0.1, 2014-06-30 23:14:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046795
127.0.0.1, 2014-06-30 23:15:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048766
127.0.0.1, 2014-06-30 23:16:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056454
127.0.0.1, 2014-06-30 23:17:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047636
127.0.0.1, 2014-06-30 23:18:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044648
127.0.0.1, 2014-06-30 23:19:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057553
127.0.0.1, 2014-06-30 23:20:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046077
127.0.0.1, 2014-06-30 23:21:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055376
127.0.0.1, 2014-06-30 23:22:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048191
127.0.0.1, 2014-06-30 23:23:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044823
127.0.0.1, 2014-06-30 23:24:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045388
127.0.0.1, 2014-06-30 23:25:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046613
127.0.0.1, 2014-06-30 23:26:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055491
127.0.0.1, 2014-06-30 23:27:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047986
127.0.0.1, 2014-06-30 23:28:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048848
127.0.0.1, 2014-06-30 23:29:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054591
127.0.0.1, 2014-06-30 23:30:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.049369
127.0.0.1, 2014-06-30 23:31:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056868
127.0.0.1, 2014-06-30 23:32:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045579
127.0.0.1, 2014-06-30 23:33:25, GET, /basic_rest/default/api/test-, HTTP/1.1, 400, 0.388386
127.0.0.1, 2014-06-30 23:33:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000818
127.0.0.1, 2014-06-30 23:33:35, GET, /basic_rest/default/api/test, HTTP/1.1, 400, 0.316310
127.0.0.1, 2014-06-30 23:33:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000924
127.0.0.1, 2014-06-30 23:33:47, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.091298
127.0.0.1, 2014-06-30 23:34:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000875
127.0.0.1, 2014-06-30 23:34:22, GET, /basic_rest/default/api, HTTP/1.1, 400, 0.327995
127.0.0.1, 2014-06-30 23:34:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000820
127.0.0.1, 2014-06-30 23:34:25, GET, /basic_rest/default/, HTTP/1.1, 200, 0.784680
127.0.0.1, 2014-06-30 23:34:29, GET, /admin/default/site, HTTP/1.1, 200, 0.188455
127.0.0.1, 2014-06-30 23:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000786
127.0.0.1, 2014-06-30 23:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000789
127.0.0.1, 2014-06-30 23:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000861
127.0.0.1, 2014-06-30 23:34:33, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.145661
127.0.0.1, 2014-06-30 23:34:39, GET, /admin/default/edit/basic_rest/controllers/default.py, HTTP/1.1, 200, 0.077392
127.0.0.1, 2014-06-30 23:34:40, GET, /admin/default/edit/basic_rest/controllers/default.py, HTTP/1.1, 200, 0.079002
127.0.0.1, 2014-06-30 23:34:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.083673
127.0.0.1, 2014-06-30 23:34:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.185105
127.0.0.1, 2014-06-30 23:34:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.185542
127.0.0.1, 2014-06-30 23:34:40, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.030940
127.0.0.1, 2014-06-30 23:34:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000879
127.0.0.1, 2014-06-30 23:34:55, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.202861
127.0.0.1, 2014-06-30 23:34:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2014-06-30 23:35:00, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 0.188634
127.0.0.1, 2014-06-30 23:35:03, GET, /basic_rest/appadmin/insert/db/fam, HTTP/1.1, 200, 0.849713
127.0.0.1, 2014-06-30 23:35:29, POST, /basic_rest/appadmin/insert/db/fam, HTTP/1.1, 200, 0.226758
127.0.0.1, 2014-06-30 23:35:38, POST, /basic_rest/appadmin/insert/db/fam, HTTP/1.1, 200, 0.259484
127.0.0.1, 2014-06-30 23:35:45, POST, /basic_rest/appadmin/insert/db/fam, HTTP/1.1, 200, 0.248938
127.0.0.1, 2014-06-30 23:36:15, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 0.244880
127.0.0.1, 2014-06-30 23:36:18, GET, /basic_rest/appadmin/select/db, HTTP/1.1, 200, 1.212412
127.0.0.1, 2014-06-30 23:36:34, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.177606
127.0.0.1, 2014-06-30 23:36:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2014-06-30 23:36:47, GET, /admin/default/design/api, HTTP/1.1, 303, 0.060918
127.0.0.1, 2014-06-30 23:36:47, GET, /admin/default/site, HTTP/1.1, 200, 0.206680
127.0.0.1, 2014-06-30 23:36:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000901
127.0.0.1, 2014-06-30 23:36:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000957
127.0.0.1, 2014-06-30 23:36:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000839
127.0.0.1, 2014-06-30 23:36:53, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.163309
127.0.0.1, 2014-06-30 23:37:05, GET, /basic_rest/default/api/test, HTTP/1.1, 400, 0.076778
127.0.0.1, 2014-06-30 23:37:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000864
127.0.0.1, 2014-06-30 23:38:39, GET, /basic_rest/default/api/[fam], HTTP/1.1, 400, 0.072113
127.0.0.1, 2014-06-30 23:38:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000813
127.0.0.1, 2014-06-30 23:38:44, GET, /basic_rest/default/api/, HTTP/1.1, 400, 0.069017
127.0.0.1, 2014-06-30 23:38:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000801
127.0.0.1, 2014-06-30 23:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001226
127.0.0.1, 2014-06-30 23:40:03, GET, /basic_rest/default/index, HTTP/1.1, 200, 0.192938
